Name,Type,Address,City,Region,Latitude,Longitude
Govt. Industrial Training Institute,ITI,"Vidyanagar, Hubli",Hubli,Hubli/Dharwad,15.3638384,75.1275701
Dr. Ambedkar Shikshan Sam ITI,ITI,"Nekar Nagar, Hubli",Hubli,Hubli/Dharwad,15.3233746,75.1263033
Mahila Vidyapeeta ITI,ITI,"Vidyanagar, Hubli",Hubli,Hubli/Dharwad,15.3638384,75.1275701
Shri Guru Gorakshanath ITI,ITI,"Tarihal Road, Hubli",Hubli,Hubli/Dharwad,,
Smt. Kamalamma Lahoti ITI,ITI,"Station Road, Hubli",Hubli,Hubli/Dharwad,15.3440054,75.1458667
Sri Siddeshwar ITI,ITI,"Hosur Road, Hubli",Hubli,Hubli/Dharwad,15.3558762,75.1274944
Govt. ITI for Women,ITI,"Gokul Road, Hubli",Hubli,Hubli/Dharwad,15.3549819,75.0887119
Basaveshwar ITI,ITI,"Industrial Area, Dharwad",Hubli,Hubli/Dharwad,15.3598653,75.0466235
Karnataka Lingayat Education Society ITI,ITI,"Vidyanagar, Hubli",Hubli,Hubli/Dharwad,15.3638384,75.1275701
Gurumallappa Chabbi Rural ITI,ITI,"Hosa Yellapur, Dharwad",Hubli,Hubli/Dharwad,,
MSME Development Institute (Hubli),MSME,"Industrial Estate, Gokul Road, Hubli",Hubli,Hubli/Dharwad,,
Hubli Engineering Cluster,MSME,"Tarihal Industrial Area, Gokul Road, Hubli",Hubli,Hubli/Dharwad,,
Auto Cluster,MSME,"Gokul Road, Hubli",Hubli,Hubli/Dharwad,15.3549819,75.0887119
Readymade Garment Cluster,MSME,"Gokul Road, Hubli",Hubli,Hubli/Dharwad,15.3549819,75.0887119
Belur Industrial Estate,MSME,"Belur, Dharwad",Hubli,Hubli/Dharwad,15.5307596,74.910858
Mummigatti Industrial Estate,MSME,"Mummigatti, Dharwad",Hubli,Hubli/Dharwad,,   
Kotur Industrial Estate,MSME,"Kotur, Dharwad",Hubli,Hubli/Dharwad,15.5418405,74.9032015
